user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
steven-abraham		Abraham	steven.abraham	http://rabbistevenabraham.com	Rabbi Steven Abraham is the Rabbi of Beth El Synagogue in Omaha, Nebraska. Rabbi Abraham graduated from the rabbinical school at the Jewish Theological Seminary in May of 2011, where he also received a Masters of Arts in Jewish Education. Before attending JTS, the rabbi graduated from the University of Baltimore with a degree in Business Management. While in rabbinical school, Rabbi Abraham served as an intern at Congregation Beth Shalom in Chicago, as well as at Congregation Habonim in New York. For years, he was actively involved with USY, from his time as a participant in high school, to his service as a group leader for numerous summer programs, and in his current position as director of USY on Wheels.				
israel-abrahams		Abrahams (translation and commentary)	israel.abrahams	https://en.wikipedia.org/wiki/Israel_Abrahams	"Israel Abrahams, MA (honoris causa) (b. London, November 26, 1858; d. Cambridge, October 6, 1925) was one of the most distinguished Jewish scholars of his generation. He wrote a number of classics on Judaism, most notably, Jewish Life in the Middle Ages (1896). In 1902, after teaching for several years at Jews' College, Abrahams succeeded Solomon Schechter, who was moving to New York to head the Jewish Theological Seminary of America, as reader in Talmudic and Rabbinic literature at the University of Cambridge. He received the honorary degree Master of Arts (MA) from the University in late May 1902. In 1914, he published <em>A Companion to the Authorised Prayer Book</em>, a helpful commentary on and supplement to the <a href=""/?p=1166/"">prayer book</a> compiled by Rabbi <a href=""/profile/simeon-singer/"">Simeon Singer</a>."				
thabet-abu-rass		Abu Rass (translation)	Thabet Abu Rass (translation)	https://www.facebook.com/thabet.rass	Dr. Thabet Abu Rass (or Abu Ras; Arabic: الدكتور ثابت ابو راس, Hebrew: ד״ר ת׳אבת אבו-ראס) is a political geographer and lecturer at Sapir College. In his last position, he directed the Negev branch of Adalah - the Legal Center for Arab Minority Rights in Israel, and in this framework dealt with promoting the rights of the Arab-Bedouins in the Negev. In addition, Abu Rass has served as co-chairman of the Hand in Hand Association for Jewish-Arab Education in Israel and has served as Director of the Shatil Branch in the Negev and as the Director of the Abu Basma Project of the New Israel Fund and the Joint Distribution Committee .				
naftali-adler		Adler (translation)	naftali.adler		Herbert M. Adler (1876–1940). A lawyer and lay scholar. Completed the translation of the set of maḥzorim begun by Arthur Davis. He was appointed Director of Education in 1922 by the Central Committee for Jewish Education (for the UK and the British Commonwealth), a position in which he served until 1929. He was the nephew of the then Chief Rabbi, Hermann Adler.				
admin		Admin	admin				https://avatars1.githubusercontent.com/u/855510?v=3		
rasheed-agbaria		Agbaria (translation)	Rasheed Agbaria (translation)		"Rasheed Agbaria is a Haifa-based writer, translator, and software engineer. His three published works, so far, are הזר ברחוב צהיון (סיפורת), חלום ליל פחד, and שירה לא תזרח השמש, רומן. He is also the author of the ""10 Commandments of Rasheed Aqbaria"" (on <a href=""https://www.facebook.com/rasheed.agbaria/posts/10155251012469486"">Facebook</a>)."				
shmuel-yosef-agnon		Agnon	shmuel-yosef.agnon	https://en.wikipedia.org/wiki/Shmuel_Yosef_Agnon	"Shmuel Yosef Agnon שמואל יוסף עגנון‎ (also, Shai Agnon or S. Y. Agnon ש""י עגנון) (July 17, 1888 – February 17, 1970) was a Nobel Prize laureate writer and one of the central figures of modern Hebrew fiction. Agnon was born in Polish Galicia, then part of the Austro-Hungarian Empire, and later immigrated to Mandatory Palestine, and died in Jerusalem, Israel. His works deal with the conflict between the traditional Jewish life and language and the modern world. They also attempt to recapture the fading traditions of the Yiddish shtetl. In a wider context, he also contributed to broadening the characteristic conception of the narrator's role in literature. Agnon shared the Nobel Prize with the poet Nelly Sachs in 1966."				
ron-aigen		Aigen	ron-aigen		Rabbi Ron Aigen, (d.2016) was the first full time rabbi of Congregation Dorshei Emet, Montreal.  He was spiritual leader of the community since 1976, and had a passion for promoting creative Jewish pathways for human fulfillment. His most recent interest was in the development of the Wise Heart Project: Jewish Wisdom for Everyday Living. Combining mindfulness meditation practice together with Jewish texts and rituals the Wise Heart Project offered two new programs this year: Parenting as a Spiritual Journey and Wise-Aging. Rabbi Ron was a Fellow of the Institute for Jewish Spirituality, and a Senior Rabbinic Fellow of the Shalom Hartman Institute in Jerusalem. He had served as President of the Montreal Board of Rabbis; President of the Reconstructionist Rabbinical Association; and Chair of the Montreal Federation’s Commission on Continuity and Culture. A native of Brooklyn, New York, he received his Bachelor of Science in Psychology from Harpur College, SUNY Binghamton and his Masters of Arts in Family Therapy and Community Psychology from Temple University. Rabbi Aigen was a graduate of the Reconstructionist Rabbinical College and was awarded a honourary Doctor of Divinity in 2001. Rabbi Ron’s publications included Siddur Hadesh Yameinu/ Renew Our Days: A Book of Jewish Prayer and Meditation, Mahzor Hadesh Yameinu: A Prayer-Cycle for Days of Awe, and Wellsprings of Freedom: The Renew Our Days Hagaddah; Community and the Individual Jew: A Festschrift in Honour of Lavy M. Becker; and chapters in Bar/Bat Mitzvah Education: A Source Book describing the Dorshei Emet Pre-B’nei Mitzvah and Family Education Program which he developed.				
sanford-akselrad		Akselrad	sanford.akselrad	http://digital.library.unlv.edu/jewishheritage/people/rabbi-sanford-akselrad	Rabbi Sanford Akselrad (1957- ) is the spiritual leader of Congregation Ner Tamid in Las Vegas, Nevada, a position he has held since 1988. Rabbi Akselrad moved to Las Vegas for the job and has been a leader in the local Jewish community ever since. He started Project Ezra during the recession to help Jewish community members find jobs, and established the NextGen program to bring young adults in their twenties and thirties back to the temple. For over twenty years Rabbi Akselrad was a member of the board of the Nevada Governor’s Council on Holocaust education, a topic that was the focus of his rabbinical thesis. He was the founding president of the Clark County Board of Rabbis and has served on the boards of the Jewish Federation of Las Vegas, Jewish Family Services, and the Humana Hospital Pastoral Advisory Board. He was also the chair of the Federation’s Community Relations Council (CRC). Rabbi Akselrad is a board member of the Anti-Defamation League Nevada region office and the Interfaith Council of Southern Nevada.				
stew-albert		Albert	stew.albert	https://en.wikipedia.org/wiki/Stew_Albert	"Stewart Edward ""Stew"" Albert (December 4, 1939 – January 30, 2006) was an early member of the Yippies, an anti-Vietnam War political activist, and an important figure in the New Left movement of the 1960s."				
ben-tsiyon-alfes		Alfes	ben-tsiyon.alfes	http://yleksikon.blogspot.com/2014/07/ben-tsion-benzion-alfes.html	"Ben-Tsiyon (also Ben-Zion) Alfes (Hebrew: בן-ציון אלפס‎) (1851-1941) was a rabbi, author, prolific author of Yiddish religious literature, commentator and compiler of prayers in vernacular Yiddish. His most well-known book is <em>Maaseh Alfes</em> (Tales of Alfes). The last work he saw published, written at age 90, was an autobiography titled ""The Life Story of the Maase Alfes."" Another work, <em>Toledot ve-Zikhronot</em>, also an autobiography, but with a different focus, was published posthumously."				
david-algaze		Algaze	david.algaze	http://www.davidalgaze.com	Rabbi David L. Algaze, originally of Buenos Aires, Argentina, is the founder and spiritual leader of Ḥavurat Yisrael, Forest Hills, New York. He received his smikhah from Rabbi Joseph Messas, Chief Rabbi of Haifa, Israel, and from Rabbi Ezra Basry, head of the Bet-Din of Jerusalem. Rabbi Algaze founded Eli, a city in Samaria, in 1984. In 1989 he founded The Coalition for Israel. He has been Rosh Yeshivah of Ohr Torah Institute and a delegate of the Soviet Union. A graduate of the University of Buenos Aires, he holds a Master of Philosophy degree from Columbia University and a Master of Hebrew Literature from the Jewish Theological Seminary. The Rabbi has been a Fellow of the Herbert Lehman Institute of Ethics, a Columbia University President's Fellow, and a Kent Fellow of the Danfourth Foundation. A sepharadi rabbi, his forefathers include the Maharit, Rabbi Yomtov Algaze, who was Rishon Letzion, chief rabbi of the ancient Jewish community of Eretz Yisrael, and Rabbi Shlomo Algaze, the chief rabbi who excommunicated Shabbetai Tzvi.				
adina-allen		Allen	adina.allen	http://adinaallen.com	Rabbi Adina Allen is a spiritual leader, writer and designer of transformative learning opportunities. Integrating a lifetime of experience in the creative arts with her rabbinic training Adina provides a unique and enlivening approach to Judaism. Her original research using painting, text study and reflective writing to generate contemporary midrash was published in the Winter 2013 edition of the CCAR Journal. Adina has taught Jewish text through a wide variety of creative arts modalities at institutions including Hillels, synagogues, and Jewish communal organizations across the country and abroad. As a recipient of the CIRCLE Fellowship Adina designed and facilitated a semester-long curriculum “Art as Inquiry into Interfaith Leadership” that resulted in an exhibition of the art and writing produced by participants. Adina is co-founder of the Movement Minyan, a method that explores Jewish liturgy through embodied practice, and was the 2012 National Havurah Summer Institute Liturgist in Residence. Former Assistant Editor of Tikkun magazine, Adina is a contributing writer to the Huffington Post and her work has been published in Tikkun, The Journal for Inter-Religious Dialogue, and State of Formation, among others. Ordained by Hebrew College in 2014 Adina is an alumnus of the Wexner Graduate Fellowship.				
katy-allen		Allen	katy.allen	http://www.mayantikvah.org	"Rabbi Katy Z. Allen is the founder and spiritual leader of Ma'yan Tikvah - A Wellspring of Hope, a non-traditional congregation that holds services outdoors all year. She began her career as a biology teacher, turned to writing and editing educational materials, then started teaching Hebrew school and became involved in family and adult education before entering rabbinical school. She received a Masters of Arts in Jewish Studies from Hebrew College in Newton, MA, in 1999, and rabbinic ordination from the Academy for Jewish Religion in Yonkers, NY, in 2005 and became a Board Certified Chaplain through Neshama: Association of Jewish Chaplains. For ten years, Katy served as a staff chaplain at the Brigham and Women’s Hospital in Boston and then as a hospice chaplain. She is the co-founder and President pro-tem of the Jewish Climate Action Network (<a href=""https://jewishclimate.org"">jewishclimate.org</a>) and the facilitator of the One Earth Collaborative (<a href=""https://oneearth.today"">oneearth.today</a>), a project of Open Spirit in Framingham, MA, where she engages with the community as an eco-chaplain. lives in Wayland, MA, with her spouse, Gabi Mezger, who leads the singing at Ma'yan Tikvah. She blogs about Torah and Earth at www.mayantikvah.blogspot.com."				
yaaqov-moshe-hai-altarats		Altarats	Yaaqov Mosheh Ḥai Altarats (translation)		"Yaaqov Mosheh Ḥai Altarats (f. 19th century) was born in Sarajevo, Bosnia. He traveled to Jerusalem at age 13. In Jerusalem he learned ritual slaughter (sheḥitah) and remained in Palestine for an indeterminate length of time. He returned home by way of Beirut (where he worked as shoḥet for a few months), Rhodes, Izmir and Salonika. Unable to support himself in Sarajevo he eventually settled in Belgrade, the capital of independent Serbia, where he worked as a teacher and where he published his book <em>Zikhron Yerushalayim</em> (1887). Another work by Altarats, significantly more ambitious in scope, <em>El Trezoro de Yisrael</em>, was a history of the Jewish people published in four volumes in Belgrade in the 1890s. We know little about Yaaqov Mosheh Ḥai Altarats save what he wrote of himself in his work, <em>Zikhron Yerushalayim</em>. (This short bio was derived from the work of Matthias B. Lehmann in his article, ""Jewish Nationalism in Ladino: Jacob Moshe Hay Altarats' Zikhron Yerushalayim,"" Jewish Studies Quarterly, Volume 16 (2009).)"				
yehoyada-amir		Amir	yehoyada.amir	http://yehoyada-amir.blogspot.com/	Yehoyada Amir is a Professor of Modern Jewish Thought at Hebrew Union College – Jerusalem. His attention is drawn to religious, humanistic approaches to Jewish existence in light of modernity, the memory of the Shoa, and the unique responsibility of Israeli Jews. For ten years (1999-2009) Rabbi Amir served as the director of HUC's Israel Rabbinic Program. Rabbi Amir is an active member of Maram, the Israel Council of Reform Rabbis and served in various periods as a board member of the council. He has a leading role in contemporary theological-religious, social and ethical discourse in Israel's Reform Movement as well as in neighboring circles.				
julia-andelman		Andelman	Rabbi Julia Andelman	http://www.jtsa.edu/julia-andelman	"As JTS’s director of community engagement, Rabbi Julia Andelman oversees adult learning programs across North America, digital learning, continuing rabbinic education, millennial engagement, and Prozdor. Since joining JTS in 2013, she has initiated livestreaming of JTS’s public lectures, created a video studio for digital learning programs, developed high-level curricula for congregations and other settings, and increased continuing rabbinic education tenfold.

Julia previously served as the rabbi of Congregation Shaare Zedek in Manhattan, the director of adult education and programming at Park Avenue Synagogue, and the director of the iEngage Project at the Hartman Institute of North America. She was ordained by JTS in 2006."				
mollie-andron		Andron	mollie.andron		Mollie Andron holds a double Masters in Midrash and Jewish Experiential Education from the Jewish Theological Seminary, and a BA in Religion from Bard College. Mollie spent her childhood growing up between the US and Israel. She has worked in a variety of Jewish educational settings, including most recently as Associate Director Rabbinical Engagement and Education at Hillel International. She has also worked for American Jewish World Service, the Jewish Education Project, The Heschel School, TEVA Learning Alliance, Storahtelling, and Eden Village Camp. When Mollie isn't working she is spending time with humans (big and small), the stories that we tell ourselves, plays and playing, cooking and eating, moving around, sunglasses, singing, reading children books, staring at people on the subway until they have to look, breaking down barriers, crossing thresholds and reading Midrash.				
anonymous		Anonymous (author)	anonymous	https://en.wikipedia.org/wiki/Anonymity#Anonymity_and_pseudonymity_in_art	For the time being, this contributing author prefers to remain anonymous.				
anonymous-translator		Anonymous (translation)	Anonymous (translation)		For the time being, this contributing translator prefers to remain anonymous.				
refael-antebi-tabbush		Antebi Tabbush	refael.antebi-tabbush	https://www.pizmonim.org/hazzan.php?hazzan=RTabbush	Ḥakham Raphael Antebi Tabbush of Aleppo (d. 1918) was an outstanding composer of pizmonim.  He was the son of Hakham Yisshaq Antebi and a rabbi who composed more than 400 pizmonim, and also restored those that had been lost.  He rejuvenated the use of pizmonim in the Syrian Jewish communities. All of Hakham Tabbush’s pizmonim were incorporated into a book published in Jerusalem in 1905 by R’ Raphael Haim Cohen. This work was reprinted with further additions in 1921 and was called <em>Shir Ushbaḥa</em>. He is the teacher of Hakham Moshe Ashear, Murad Harari, Afrir Cohen, Eliahou Hamaoui, among others. Towards the end of Hakham Tabbush’s life he moved to Egypt. He passed away in Cairo, Egypt in 3 Kislev, December 1918.				
applied-jewish-spirituality		Applied Jewish Spirituality	applied-jewish-spirituality	https://www.appliedjewishspirituality.org/	"Applied Jewish Spirituality, powered by <a href=""https://orhalev.org"">Or HaLev</a>, is a home for deep, accessible online courses that bring life-changing wisdom and practices to anyone seeking them."				
trishaarlin		Arlin	Trisha Arlin (liturgist)	http://triganza.blogspot.com	"Trisha Arlin is a liturgist, teacher, performer and student of prayer in Brooklyn, NY and was a part-time rabbinic student at the Academy of Jewish Religion (AJR), 2012-18. Trisha was the Liturgist-In-Residence during the National Havurah Committee’s 2014 Summer Institute, has served as Scholar or Artist In Residence at many synagogues where she has read, led services and taught her class, Writing Prayer. since the pandemic began, Trisha has been on Zoom teaching prayer writing, sharing her liturgy and doing readings with Ritualwell, Haggadot.com, for synagogues around the country as well as small freelance groups. She is a founding builder of Bayit’s <a href=""https://yourbayit.org/liturgical-arts/"">Liturgical Arts</a> project. Trisha received a BA in Theater from Antioch College in 1975 and MFA in Film (Screenwriting) in 1997 from Columbia University. In 2009/2010, Trisha was an Arts Fellow at the Drisha Institute. In 2011, she graduated from the sixth cohort of the Davennen Leadership Training Institute (DLTI). A longtime member of <a href=""https://kolotchayeinu.org/"">Kolot Chayeinu/Voices of our Lives,</a> a progressive unaffiliated congregation in Brooklyn NY, Trisha’s liturgy has been used at services and ritual occasions and in newsletter there and at venues of many denominations around the world. Her work has been published in her book, <em><a href=""https://dimus.parrhesia.press/shop/tkhines-paraliturgical-prayers/place-yourself-word-of-prayer-intention-by-trisha-arlin-foreword-by-rabbi-jill-hammer-ph-d-paperback/"">Place Yourself: Words of Poetry and Intention</a></em> (a collection of liturgy and kavannot. Foreword by Rabbi Jill Hammer, Artwork by Mike Cockrill. 2019 Dimus Parrhesia Press); the <em>Journal of Feminist Studies in Religion</em>; <em>Seder Tefillot, Forms of Prayer: Prayers for the High Holydays</em> (Movement for Reform Judaism); <em>B’chol Levavecha</em> (CCAR Press); <em><a href=""https://yourbayit.org/beside-still-waters/"">Beside Still Waters: A Journey of Comfort and Renewal</a></em> (Bayit &amp; Ben Yehuda Press); <em><a href=""https://www.poetrysuperhighway.com/agnp/listen-to-a-poets-siddur-virtual-publication-party/"">A Poet’s Siddur</a></em> (Ain’t Got No Press); <em><a href=""https://benyehudapress.com/books/studies-judaism-pluralism/"">Studies in Judaism and Pluralism</a></em> (Ben Yehuda Press) and can be found online at TrishaArlin.com, at RitualWell, and of course, the Open Siddur Project.  You can support her work by buying her book, making a one time donation through PayPal @trishaarlin or monthly support via <a href=""https://www.patreon.com/trishaarlin"">Patreon</a>."		https://graph.facebook.com/652833504/picture?type=large	http://opensiddur.org/wp-content/avatars/trisha-arlin2.jpg	
margaret-armour		Armour (translation)	Margaret Armour (translation)	http://desturmobed.blogspot.com/2012/10/margaret-armour.html	Margaret Armour  (b. Abercorn, West Lothian, Scotland, 10 September 1860; d. Edinburgh, 13 October 1943) was a poet, novelist and translator.				
arnaud-aron		Aron	arnaud.aron		Arnaud Aron (March 11, 1807, in Sulz unterm Walde, Alsace – April 3, 1890), the Grand Rabbi of Strasbourg, began his Talmudic studies at an early age at Hagenau and continued them at Frankfort-on-the-Main. In 1830 he became rabbi of the small community of Hegenheim in Upper Alsace; and of Strasbourg in 1833. As he was under thirty, the age prescribed by law, he required a special dispensation to qualify for the office. In Strasbourg, Aron acquired the reputation of an eloquent and inspiring preacher and a zealous communal worker. He assisted in founding the School of Arts and Trades and took active interest in other useful institutions. In 1855 he convened an assembly of the rabbis of the department of the Lower Rhine for the consideration of religious questions. Aron was the author of the catechism used for confirmation as prescribed by the Consistory of Lower Alsace. In 1866 the French government acknowledged his services by appointing him a Knight of the Legion of Honor. In 1870, while Strasbourg was besieged, it was he, together with the archbishop, who raised the white flag on the cathedral. Subsequently he was decorated by the German emperor.				
ben-aronin		Aronin	Ben Aronin (translation)	http://www.sf-encyclopedia.com/entry/aronin_ben	"Ben Aronin (1904-1980), Hebrew translator, US television performer, scriptwriter, poet and author. The Chicago Jewish Historical Society dubbed him ""the Chicago Jewish community’s quintessential Renaissance Man...a lawyer, scholar, teacher, writer, summer camp counselor, and for many years director of extension activities at Anshe Emet. He wrote Jewish-themed songs and plays which are still performed today."" He appeared as Uncle Ben in the <em>Magic Door</em> series for children; as an author, he began publishing work of genre interest with ""The Doubt"" for Amazing in May 1932, and who wrote the Raphael Drale sequence of Lost Race tales about the Lost Tribes of Israel, comprising <em>The Lost Tribe: Being the Strange Adventures of Raphael Drale in Search of the Lost Tribes of Israel</em> (1934) and <em>Cavern of Destiny</em> (1943). In 1941, his <em>The Abramiad</em>, a book-length mythological poem on the emergence of the Jewish people, was published by Argus Books."				
the-aronin-family		Aronin Family	the-aronin-family		The Aronin family are Kohanim, descendents of Aaron, brother of Moses and the first Kohen Gadol (high priest). Family legend claims descent from Simon the Just, one of the Great Sages. The symbolism of the crest recalls this history. The Aleph stands for the Aronin name. The shape of the crest represents the mitre (headpiece) of the Kohen Gadol. The three letters—Taf, Ayin and Gimel—stand for Torah, Avodah, Gemilot Chasadim (law, divine service, and good deeds), the three pillars upon which the world rests, according to Simon the Just in Pirke Avot. The three red stones represent these pillars and the large stone, the world. (The stones also recall the breastplate worn by the Kohen Gadol, which had four rows of three stones representing the twelve tribes of Israel.) The Aronin rabbis of Eastern Europe wore a signet ring bearing the Aronin crest, which was used as an official seal by dipping the ring in wax. Ben Aronin used a picture of the crest on his stationery.				
aliza-arzt		Arzt	Aliza Arzt (translation)		Aliza Arzt is a Jewish educator and a member of Havurat Shalom in Somerville MA. She was liturgist in residence at the National Havurah Committee (NHC) in 2016. She is particularly interested in Hebrew and what we can learn from Hebrew words in the Tanakh and in tefilot (prayers). In her other incarnations, she is a home care speech therapist, potter, parent of young adults, and gecko keeper.				
arik-ascherman		Ascherman	Rabbi Arik Ascherman	http://en.wikipedia.org/wiki/Arik_Ascherman	"Arik Ascherman is an American-born Israeli Reform rabbi, and co-founder and former Executive Director for Rabbis for Human Rights. As a human rights and political activist, he has spearheaded protests to defend Palestinians against Israeli settler violence. He appears in the 2010 documentary Israel vs Israel. In 2009 he was co-recipient (with Alice Shalvi) of the Leibowitz Prize, presented by the Yesh Din human rights organization for public activism. In 2011 he was co-recipient (with Rabbi Ehud Bandel, a co-founder of Rabbis for Human Rights) of the Gandhi Peace Award,"" for their nonviolent methods of resolving human rights abuses in Israel and the Occupied Territories."""			http://opensiddur.org/wp-content/avatars/arik-ascherman.jpg	
mashiah-asgari		Asgari	mashiah.asgari		Mashiaḥ Asgari, resident of Herat, was a young singer and scribe in 19th or early 20th century Afghanistan.				
yoni-ashar		Ashar	yoni.ashar	http://psych.colorado.edu/~clinical/students/ashar.html	Yoni Ashar is a graduate student in clinical psychology at the University of Colorado-Bolder. His research interests include biological and statistical approaches to understanding well-being and interventions enhancing well-being.				
david-asher		Asher (translation)	David Asher (translation)	http://www.jewishencyclopedia.com/articles/1923-asher-david	"David Asher (born at Dresden Dec. 8, 1818; died in Leipsic Dec. 2, 1890) was a German-Jewish scholar and educator. He received his early education at the Jewish school of his native city, and subsequently entered the gymnasium there, being one of the first Jews admitted to the institution. As his mother was unable to support him, his stay there was short. Asher then learned the trade of carving and gilding, thereby supporting himself as a journeyman artisan during his travels to various cities of Germany and Austria. On the invitation of a wealthy relative he went to London, where he learned English at a private school—subsequently becoming assistant teacher there—and at the same time assiduously studied philosophy, philology, Hebrew, and modern languages. Later, Asher held various offices in the Jewish congregation and was tutor to the children of the chief rabbi of England. Upon his return to Germany he obtained the degree of doctor of philosophy at the Berlin University. Settling in Leipsic, he soon acquired reputation as an English instructor, having among his pupils many persons of high rank. For seven years he held the post of English master at the Commercial School; and for eight years that of examiner of candidates for higher schools at the university. He was also a member of the Academy for Modern Languages, in Berlin, and official interpreter to the Royal Law Courts of Leipsic. A linguist of the first order, he was engaged in literary work of varied character, and diligently contributed to most of the leading German journals, as well as to the English periodicals the ""Times,"" ""Athenæum,"" ""Academy,"" and ""Jewish Chronicle."" For the last he translated Dr. Döllinger's ""Address on the History of the Jews of Europe."" Asher distinguished himself as an interpreter of the philosophy of Schopenhauer; and as an ardent champion of his own coreligionists, energetically combating antisemitic attacks. (lightly adapted from <a href=""http://www.jewishencyclopedia.com/articles/1923-asher-david"">his entry</a> in the 1906 Jewish Encyclopedia)"				
